,centroidid,longitude,latitude
121,MW000122,33.7669058024999,-13.9003157087999
122,MW000123,34.8921272967999,-16.4526624756
123,MW000124,34.6109797226,-14.6233095121
124,MW000125,35.0773886944,-15.7537482333
125,MW000126,35.223236573,-15.2934336516999
126,MW000127,34.3341948564999,-13.2356932053
127,MW000128,33.7477424532999,-14.0099806079999
128,MW000129,35.4395803433,-15.9988346691
129,MW000130,33.7978932941,-14.0369556399
130,MW000131,35.5827071769,-15.7331275923
131,MW000132,33.9818303381999,-14.2634222076
132,MW000133,33.6011483507,-13.2692685344
133,MW000134,33.8171480358,-14.0345917502
134,MW000135,33.8248060264999,-13.9900897254
135,MW000136,35.1984818448,-14.8479564442999
136,MW000137,34.7962575636,-14.9055735010999
137,MW000138,33.4748418371,-13.8446473795
138,MW000139,33.7471202089,-14.2968139733
139,MW000140,35.0918653323,-16.3123786123
140,MW000141,33.7421498412,-13.9470233476
141,MW000142,33.1728114046999,-13.3074409336
142,MW000143,35.0826465598999,-16.0031464584
143,MW000144,33.7805861837,-14.0169741591
144,MW000145,33.7751715571999,-13.8974434775
145,MW000146,33.7458967474,-13.7933561725999
146,MW000147,33.7596003374,-13.8912012494
147,MW000148,35.6781701936,-16.0715076223
148,MW000149,35.2348375724999,-14.1737044681
149,MW000150,34.9956265431,-15.7940592443
150,MW000151,35.1841560013,-15.6879420665
151,MW000152,33.9033114858,-13.3156778372
152,MW000153,35.0236192387,-15.913624562
153,MW000154,35.5187964480999,-14.7418214843
154,MW000155,35.0392717814999,-15.7677510801
155,MW000156,35.503658174,-14.9688581962999
156,MW000157,35.0332864323,-15.7714804637
157,MW000158,35.6762058272,-15.610780157
158,MW000159,34.4730282287,-13.7731876868
159,MW000160,35.6937638118999,-14.5002847551999
160,MW000161,33.7361616572,-13.9632851464
161,MW000162,33.3209781552,-13.3856598036999
162,MW000163,35.0274535818,-15.5021335316
163,MW000164,35.0046849781999,-15.8032226611
164,MW000165,33.7604833043999,-13.8770972821999
165,MW000166,35.4709588293999,-16.0300388385999
166,MW000167,35.0568877955999,-15.7329333625
167,MW000168,33.7776337776999,-13.9224171343
168,MW000169,33.3425489298999,-9.61541384344
169,MW000170,34.3056769144999,-14.2590214511
170,MW000171,34.3044218762,-13.1642865845999
171,MW000172,34.9572983736999,-15.9883892891
172,MW000173,35.1301332470999,-14.9386131737
173,MW000174,33.6987671625999,-14.0205683919999
174,MW000175,35.050773947,-15.7721961051
175,MW000176,35.2136528734,-16.0901452395
176,MW000177,35.0719710615,-15.8483575123
177,MW000178,35.0398704313,-15.7774039604999
178,MW000179,35.0774037071999,-15.8449538445999
179,MW000180,35.8083162782999,-15.9395033423
180,MW000181,34.6357114216,-15.4795465304
181,MW000182,33.9897405249,-13.5469944542
182,MW000183,35.5142208142,-16.1117389025
183,MW000184,34.003439929,-11.4473232001
184,MW000185,35.3909892869999,-15.29523662
185,MW000186,35.0748222053,-15.3317182527
186,MW000187,35.0254777526999,-15.7158282068999
187,MW000188,33.6319244735,-13.532955014
188,MW000189,35.2616385605,-14.4916694011999
